"Otu000001" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000040" "Otu000041" "Otu000044" "Otu000046" "Otu000048" "Otu000050" "Otu000058" "Otu000060" "Otu000066" "Otu000070" "Otu000071" "Otu000075" "Otu000077" "Otu000081" "Otu000087" "Otu000093" "Otu000105" "Otu000117" "Otu000118" "Otu000124" "Otu000136" "Otu000137" "Otu000161" "Otu000162" "Otu000176" "Otu000179" "Otu000195" "Otu000215" "Otu000217" "Otu000227" "Otu000228" "Otu000261" "Otu000262" "Otu000267" "Otu000282" "Otu000298" "Otu000304" "Otu000311" "Otu000320" "Otu000322" "Otu000338" "Otu000347" "Otu000355" "Otu000363" "Otu000377" "Otu000379" "Otu000385" "Otu000387" "Otu000399" "Otu000443" "Otu000450" "Otu000459" "Otu000500" "Otu000506" "Otu000509" "Otu000551" "Otu000646" "Otu000663" "Otu000671" "Otu000714" "Otu000717" "Otu000718" "Otu000746" "Otu000755" "Otu000763" "Otu000775" "Otu000779" "Otu000785" "Otu000787" "Otu000793" "Otu000800" "Otu000810" "Otu000877" "Otu000930" "Otu000931" "Otu001003" "Otu001012" "Otu001021" "Otu001065" "Otu001082" "Otu001097" "Otu001104" "Otu001118" "Otu001130" "Otu001148" "Otu001194" "Otu001201" "Otu001219" "Otu001269" "Otu001276" "Otu001301" "Otu001311" "Otu001318" "Otu001319" "Otu001338" "Otu001451" "Otu001526" "Otu001556" "Otu001643" "Otu001662" "Otu001684" "Otu001693" "Otu001700" "Otu001754" "Otu001784" "Otu001821" "Otu001949" "Otu001954" "Otu002006" "Otu002044" "Otu002159" "Otu002251" "Otu002303" "Otu002401" "Otu002419" "Otu002606" "Otu002674" "Otu002845" "Otu002882" "Otu003047" "Otu003078" "Otu003170" "Otu003182" "Otu003259" "Otu003276" "Otu003323" "Otu003382" "Otu003388" "Otu003401" "Otu003533" "Otu003682" "Otu004032" "Otu004327" "Otu004989" "Otu005102" "Otu005306" "Otu005522" "Otu005973" "Otu006541" "Otu007916" "Otu008727" "Otu009766"
"Z14012F" 0.183887733887734 0.0132016632016632 0.118607068607069 0.0591476091476092 0.0622661122661123 0.0239085239085239 0.085031185031185 0.0701663201663202 0.0661122661122661 0.0152806652806653 0.0175675675675676 0.0581081081081081 0.00353430353430353 0.000831600831600832 0.00332640332640333 0.0305613305613306 0.0143451143451143 0.019022869022869 0.00446985446985447 0.0213097713097713 0.00166320166320166 0.00176715176715177 0.00166320166320166 0.000311850311850312 0.00634095634095634 0.0234927234927235 0 0.00727650727650728 0.00249480249480249 0.0027027027027027 0 0.00405405405405405 0.000207900207900208 0.00436590436590437 0.000415800415800416 0.000727650727650728 0.00353430353430353 0.00997920997920998 0 0 0.00166320166320166 0 0 0.00114345114345114 0.00873180873180873 0.000415800415800416 0.000311850311850312 0.000103950103950104 0 0.00103950103950104 0 0.000207900207900208 0.00218295218295218 0 0.00831600831600832 0 0.0161122661122661 0 0.000415800415800416 0.00145530145530146 0.00301455301455301 0 0.000103950103950104 0.00103950103950104 0 0 0.000207900207900208 0.000207900207900208 0.000207900207900208 0.000311850311850312 0.000415800415800416 0 0 0.00176715176715177 0.00332640332640333 0 0 0 0 0.000311850311850312 0.000935550935550936 0.000831600831600832 0 0 0 0.000103950103950104 0 0 0 0 0.000103950103950104 0 0.000103950103950104 0 0 0 0 0 0.000311850311850312 0.000207900207900208 0 0.000311850311850312 0.000207900207900208 0.000207900207900208 0 0.000207900207900208 0 0 0.00051975051975052 0.000103950103950104 0.000415800415800416 0 0.000103950103950104 0 0 0.000311850311850312 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14013F" 0.140956340956341 0.0498960498960499 0.0663201663201663 0.051039501039501 0.0312889812889813 0.0324324324324324 0.0648648648648649 0.0362785862785863 0.0503118503118503 0.00841995841995842 0.0159043659043659 0.0512474012474013 0.00457380457380457 0.0103950103950104 0.00446985446985447 0.00987525987525988 0.0154885654885655 0.0531185031185031 0.00228690228690229 0.0165280665280665 0.0401247401247401 0.00155925155925156 0.00166320166320166 0.00103950103950104 0.00654885654885655 0.100831600831601 0.000103950103950104 0.0126819126819127 0.00498960498960499 0.000623700623700624 0 0.00987525987525988 0.00977130977130977 0.0175675675675676 0.000311850311850312 0.000103950103950104 0.00873180873180873 0.00686070686070686 0.000207900207900208 0 0.00498960498960499 0.00239085239085239 0 0.00207900207900208 0.00405405405405405 0.000207900207900208 0 0.000207900207900208 0 0.000727650727650728 0.000935550935550936 0.000207900207900208 0.000935550935550936 0 0.00893970893970894 0 0.00561330561330561 0 0.00332640332640333 0.000831600831600832 0.00446985446985447 0 0 0.000311850311850312 0 0 0.000103950103950104 0.000103950103950104 0.00467775467775468 0 0 0 0 0.000415800415800416 0.00239085239085239 0 0 0 0 0.00748440748440748 0.000623700623700624 0.00124740124740125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0.000103950103950104 0.00103950103950104 0 0 0.000207900207900208 0 0 0.000207900207900208 0.000311850311850312 0.000311850311850312 0 0 0.000103950103950104 0 0 0 0.00051975051975052 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0
"Z14014F" 0.163825363825364 0.0271309771309771 0.189085239085239 0.0373180873180873 0.0533264033264033 0.0272349272349272 0.0656964656964657 0.032016632016632 0.0411642411642412 0.00124740124740125 0.0262993762993763 0.0529106029106029 0.00426195426195426 0.0101871101871102 0.0027027027027027 0.00291060291060291 0.012993762993763 0.0481288981288981 0.00124740124740125 0.0141372141372141 0.0133056133056133 0 0.00228690228690229 0.000103950103950104 0.00374220374220374 0.0807692307692308 0 0.00758835758835759 0.00343035343035343 0.000623700623700624 0 0.00467775467775468 0.00332640332640333 0.0109147609147609 0.000207900207900208 0 0.00613305613305613 0.00478170478170478 0.000831600831600832 0 0.00363825363825364 0.000311850311850312 0 0.00228690228690229 0.000727650727650728 0 0.000103950103950104 0 0.000311850311850312 0 0.00166320166320166 0.000103950103950104 0.000727650727650728 0 0.00686070686070686 0 0.0027027027027027 0 0.0025987525987526 0.00114345114345114 0.00415800415800416 0 0 0.000103950103950104 0.000623700623700624 0 0 0.000103950103950104 0.00311850311850312 0 0 0 0 0.000103950103950104 0.0027027027027027 0 0.000207900207900208 0 0 0.00322245322245322 0.000311850311850312 0.00103950103950104 0 0 0 0.000415800415800416 0 0 0 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0.000415800415800416 0.00135135135135135 0 0 0.000103950103950104 0 0 0.000103950103950104 0.000623700623700624 0.000311850311850312 0 0 0 0 0 0 0.000103950103950104 0.000103950103950104 0 0 0 0.000311850311850312 0 0 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0.000103950103950104 0.000415800415800416 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14016F" 0.175779625779626 0.0358627858627859 0.104781704781705 0.0566528066528067 0.0545738045738046 0.0306652806652807 0.0677754677754678 0.0361746361746362 0.043035343035343 0.0126819126819127 0.0147609147609148 0.0561330561330561 0.00311850311850312 0.00634095634095634 0.0025987525987526 0.0334719334719335 0.0155925155925156 0.0367983367983368 0.000935550935550936 0.0234927234927235 0.0163201663201663 0.00415800415800416 0.00176715176715177 0.00114345114345114 0.00696465696465697 0.0512474012474013 0 0.00956340956340956 0.00311850311850312 0.000831600831600832 0 0.00363825363825364 0.00322245322245322 0.0206860706860707 0.000103950103950104 0 0.00654885654885655 0.00706860706860707 0.000935550935550936 0 0.0027027027027027 0.00114345114345114 0 0.00166320166320166 0.00291060291060291 0.000103950103950104 0 0 0 0.000207900207900208 0.000623700623700624 0.000103950103950104 0.00291060291060291 0 0.00852390852390852 0 0.00363825363825364 0 0.0025987525987526 0.00135135135135135 0.00592515592515593 0.000103950103950104 0.000207900207900208 0.000311850311850312 0 0 0 0.000623700623700624 0.00249480249480249 0 0.000103950103950104 0 0 0.000727650727650728 0.00332640332640333 0 0 0.000103950103950104 0.000415800415800416 0.00405405405405405 0 0.00124740124740125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0.000103950103950104 0 0.000623700623700624 0.000415800415800416 0 0 0 0 0 0.00051975051975052 0.000207900207900208 0.000103950103950104 0 0 0 0 0.000103950103950104 0 0.000623700623700624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0
"Z14017F" 0.143243243243243 0.0977130977130977 0.12962577962578 0.059043659043659 0.0306652806652807 0.0316008316008316 0.0418918918918919 0.0258835758835759 0.0533264033264033 0.0053014553014553 0.0214137214137214 0.048024948024948 0.0128898128898129 0.00540540540540541 0.00457380457380457 0.0185031185031185 0.024012474012474 0.00883575883575884 0.00384615384615385 0.0143451143451143 0.00738045738045738 0 0.0438669438669439 0.000103950103950104 0.0143451143451143 0.0415800415800416 0 0.0116424116424116 0.00436590436590437 0.00051975051975052 0.00135135135135135 0.0128898128898129 0.00415800415800416 0.00197505197505198 0.00415800415800416 0.00103950103950104 0.00488565488565489 0.00665280665280665 0.00135135135135135 0 0.00997920997920998 0.000727650727650728 0.000311850311850312 0.00197505197505198 0.00332640332640333 0.000103950103950104 0.000103950103950104 0.000207900207900208 0 0.000103950103950104 0.000103950103950104 0.000207900207900208 0.00301455301455301 0 0.0132016632016632 0.000103950103950104 0.000207900207900208 0 0.00187110187110187 0.000727650727650728 0.000831600831600832 0 0 0.000935550935550936 0 0.000935550935550936 0 0.000103950103950104 0 0 0 0 0 0.000103950103950104 0.00343035343035343 0 0.000207900207900208 0.000103950103950104 0.000311850311850312 0.00218295218295218 0.00103950103950104 0.00446985446985447 0 0.000311850311850312 0 0 0.000103950103950104 0 0 0 0 0 0.000103950103950104 0 0 0.000103950103950104 0 0 0 0.000103950103950104 0 0 0.000935550935550936 0 0.000311850311850312 0 0 0 0.000727650727650728 0.000103950103950104 0 0 0 0.000103950103950104 0 0.000207900207900208 0 0.000103950103950104 0 0 0 0 0.00197505197505198 0 0 0 0 0.000311850311850312 0 0 0 0 0 0 0.000103950103950104 0.000103950103950104 0 0 0 0 0 0 0 0.000727650727650728 0 0.000207900207900208 0 0 0 0 0 0 0 0
"Z14018F" 0.114033264033264 0.175883575883576 0.106029106029106 0.0381496881496882 0.0224532224532225 0.0481288981288981 0.0783783783783784 0.0381496881496882 0.05 0.00291060291060291 0.0123700623700624 0.0269230769230769 0.00436590436590437 0.00966735966735967 0.00218295218295218 0.00363825363825364 0.0143451143451143 0.00862785862785863 0.00051975051975052 0.00997920997920998 0.0122661122661123 0.000103950103950104 0.0393970893970894 0.000415800415800416 0.00686070686070686 0.022972972972973 0.000103950103950104 0.03004158004158 0.00228690228690229 0.000103950103950104 0 0.00956340956340956 0.00644490644490645 0.00291060291060291 0.00769230769230769 0.000623700623700624 0.00426195426195426 0.0134095634095634 0.0027027027027027 0 0.0111226611226611 0.00155925155925156 0 0.00332640332640333 0.00218295218295218 0.00114345114345114 0.000415800415800416 0.00114345114345114 0 0 0.000103950103950104 0.000727650727650728 0.00332640332640333 0.000103950103950104 0.0166320166320166 0 0.00228690228690229 0 0.0027027027027027 0.00051975051975052 0.00363825363825364 0 0 0.000207900207900208 0.000103950103950104 0.000311850311850312 0 0.000103950103950104 0 0 0 0 0 0.000415800415800416 0.0027027027027027 0 0.000311850311850312 0.000207900207900208 0 0.00239085239085239 0.00124740124740125 0.00623700623700624 0 0.000415800415800416 0 0 0.000623700623700624 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0.000415800415800416 0.000207900207900208 0 0.000103950103950104 0.00218295218295218 0 0 0 0.000103950103950104 0 0.000103950103950104 0 0.000207900207900208 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0.00124740124740125 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14019F" 0.0918918918918919 0.00374220374220374 0.0603950103950104 0.0494802494802495 0.0322245322245322 0.0101871101871102 0.0910602910602911 0.0222453222453222 0.13950103950104 0.00291060291060291 0.00478170478170478 0.0128898128898129 0.00509355509355509 0.000831600831600832 0.000935550935550936 0.00904365904365904 0.00103950103950104 0.0193347193347193 0.069022869022869 0.00124740124740125 0.00374220374220374 0.000207900207900208 0.00353430353430353 0.00904365904365904 0.000207900207900208 0.0225571725571726 0.00124740124740125 0.0138253638253638 0.00166320166320166 0 0 0.0139293139293139 0.00343035343035343 0.00634095634095634 0 0.00114345114345114 0.0207900207900208 0.027962577962578 0.000103950103950104 0 0.00322245322245322 0.00114345114345114 0 0.00051975051975052 0.00114345114345114 0.00103950103950104 0 0.000727650727650728 0.00051975051975052 0 0.00727650727650728 0 0.000415800415800416 0.00665280665280665 0.00207900207900208 0.00051975051975052 0.00218295218295218 0.000623700623700624 0 0.00602910602910603 0.000103950103950104 0.000103950103950104 0.00291060291060291 0.0053014553014553 0.00114345114345114 0 0.00966735966735967 0.0675675675675676 0 0.00467775467775468 0.000831600831600832 0.000207900207900208 0.000415800415800416 0.000207900207900208 0.0396049896049896 0 0 0.00155925155925156 0 0.00114345114345114 0.0200623700623701 0 0 0.000103950103950104 0.00353430353430353 0.000727650727650728 0 0 0.000207900207900208 0.00051975051975052 0.0027027027027027 0 0.000727650727650728 0.00197505197505198 0.000207900207900208 0 0.000103950103950104 0 0.00207900207900208 0 0.000415800415800416 0 0.0130977130977131 0.00488565488565489 0.000415800415800416 0.000727650727650728 0 0 0.00291060291060291 0.00135135135135135 0.000831600831600832 0 0.000623700623700624 0.000935550935550936 0 0 0.000831600831600832 0.00582120582120582 0.000207900207900208 0 0 0.000207900207900208 0.000207900207900208 0 0 0 0 0 0 0 0.00446985446985447 0.000207900207900208 0.000311850311850312 0.000207900207900208 0 0 0 0 0 0 0 0 0.000207900207900208 0.000311850311850312 0 0 0 0.000415800415800416 0.000103950103950104 0.000103950103950104 0 0.000103950103950104 0 0
"Z14020F" 0.119334719334719 0.124220374220374 0.104158004158004 0.0593555093555094 0.0261954261954262 0.0427234927234927 0.0913721413721414 0.0577962577962578 0.061018711018711 0.00343035343035343 0.0133056133056133 0.035966735966736 0.00602910602910603 0.00478170478170478 0.000831600831600832 0.00644490644490645 0.0137214137214137 0.00675675675675676 0.00135135135135135 0.0151767151767152 0.00602910602910603 0.00051975051975052 0.0408523908523909 0.000103950103950104 0.00582120582120582 0.0223492723492724 0.000415800415800416 0.0251559251559252 0.00176715176715177 0.000207900207900208 0 0.0141372141372141 0.0025987525987526 0.00218295218295218 0.00436590436590437 0.00124740124740125 0.00436590436590437 0.00925155925155925 0.0027027027027027 0 0.00654885654885655 0.00187110187110187 0 0.00311850311850312 0.00103950103950104 0.00103950103950104 0 0.000207900207900208 0.000103950103950104 0 0.000207900207900208 0.000623700623700624 0.00207900207900208 0 0.0174636174636175 0 0.00187110187110187 0 0.00103950103950104 0.00103950103950104 0.00280665280665281 0 0 0.000207900207900208 0 0.00051975051975052 0.000103950103950104 0.000103950103950104 0.000103950103950104 0 0.000103950103950104 0 0.000103950103950104 0.00145530145530146 0.00176715176715177 0 0.000415800415800416 0 0.000103950103950104 0.00155925155925156 0.00051975051975052 0.00571725571725572 0 0.000207900207900208 0 0 0.000623700623700624 0 0 0 0 0 0.000415800415800416 0 0.000103950103950104 0 0 0 0.000103950103950104 0.000103950103950104 0 0.000103950103950104 0.0025987525987526 0 0 0 0 0 0.000103950103950104 0.000935550935550936 0.000103950103950104 0 0 0 0 0 0.000207900207900208 0.000207900207900208 0 0 0 0 0.00187110187110187 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0.000103950103950104 0 0 0 0 0 0 0 0
"Z14021F" 0.140748440748441 0.0451143451143451 0.152702702702703 0.0508316008316008 0.0328482328482329 0.0217255717255717 0.0264033264033264 0.00405405405405405 0.0606029106029106 0.00228690228690229 0.0116424116424116 0.0388773388773389 0.035031185031185 0.0121621621621622 0.00384615384615385 0.00415800415800416 0.0173596673596674 0.0387733887733888 0.00103950103950104 0.0112266112266112 0.0180873180873181 0.000207900207900208 0.000103950103950104 0.000103950103950104 0.0386694386694387 0.106548856548857 0 0.0203742203742204 0.00478170478170478 0 0 0.00945945945945946 0.00634095634095634 0.00571725571725572 0.00124740124740125 0.000623700623700624 0.0025987525987526 0.0027027027027027 0 0 0.0113305613305613 0.000727650727650728 0 0.000207900207900208 0.00051975051975052 0.00103950103950104 0.000311850311850312 0 0 0.000207900207900208 0.000311850311850312 0 0.00436590436590437 0 0.008004158004158 0 0.00436590436590437 0 0.0053014553014553 0.00114345114345114 0.00738045738045738 0 0 0 0.000103950103950104 0 0 0 0.00582120582120582 0 0 0.000415800415800416 0 0.00103950103950104 0.00654885654885655 0 0.000103950103950104 0.000103950103950104 0.000207900207900208 0.00332640332640333 0.000103950103950104 0.00478170478170478 0 0.000207900207900208 0 0 0 0.000103950103950104 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0.000103950103950104 0.000623700623700624 0 0 0 0 0 0 0.000935550935550936 0.000831600831600832 0.000103950103950104 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14022F" 0.0985446985446986 0.0395010395010395 0.148960498960499 0.0565488565488566 0.0333679833679834 0.0244282744282744 0.0235966735966736 0.008004158004158 0.0687110187110187 0.0101871101871102 0.0135135135135135 0.0459459459459459 0.0234927234927235 0.00644490644490645 0.00644490644490645 0.00675675675675676 0.0208939708939709 0.0501039501039501 0.000727650727650728 0.0117463617463617 0.0225571725571726 0.00145530145530146 0 0.000207900207900208 0.0404365904365904 0.0986486486486487 0 0.0201663201663202 0.0051975051975052 0.000103950103950104 0 0.0113305613305613 0.00540540540540541 0.008004158004158 0.00176715176715177 0.00145530145530146 0.00436590436590437 0.00218295218295218 0 0 0.00862785862785863 0.000415800415800416 0 0.000103950103950104 0.00155925155925156 0.00114345114345114 0 0 0.000103950103950104 0.000103950103950104 0 0.000415800415800416 0.00478170478170478 0 0.0145530145530146 0 0.00415800415800416 0 0.00446985446985447 0.000935550935550936 0.00810810810810811 0 0 0 0 0 0 0.000207900207900208 0.00571725571725572 0 0 0 0 0.000727650727650728 0.00498960498960499 0 0 0 0.000415800415800416 0.00540540540540541 0.000311850311850312 0.0077962577962578 0 0.000727650727650728 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0.000103950103950104 0 0 0.000103950103950104 0 0 0 0.000727650727650728 0 0 0 0 0 0.000727650727650728 0.000103950103950104 0.000415800415800416 0.000207900207900208 0 0 0 0 0.000207900207900208 0.000207900207900208 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14023F" 0.0924116424116424 0.00987525987525988 0.093970893970894 0.0165280665280665 0.0355509355509356 0.0106029106029106 0.0255717255717256 0.00821205821205821 0.115904365904366 0.00051975051975052 0.00103950103950104 0.00249480249480249 0.000935550935550936 0.000935550935550936 0.000935550935550936 0.00925155925155925 0.00187110187110187 0.00592515592515593 0.0242203742203742 0.000831600831600832 0.00207900207900208 0.00103950103950104 0.051039501039501 0.000623700623700624 0.000103950103950104 0.012993762993763 0 0.0391891891891892 0.00103950103950104 0 0 0.027962577962578 0.00103950103950104 0.00769230769230769 0 0.000415800415800416 0.00218295218295218 0.0226611226611227 0 0.000207900207900208 0.00436590436590437 0 0 0.00051975051975052 0.00509355509355509 0.0051975051975052 0.000831600831600832 0.000415800415800416 0.132432432432432 0 0.00727650727650728 0.000207900207900208 0.00207900207900208 0.0113305613305613 0.00124740124740125 0.00124740124740125 0.00239085239085239 0.000103950103950104 0 0.00810810810810811 0.000103950103950104 0.00176715176715177 0.0127858627858628 0.0174636174636175 0.0158004158004158 0 0.000311850311850312 0 0.000207900207900208 0.00810810810810811 0.00353430353430353 0 0.008004158004158 0.020997920997921 0.0196465696465696 0 0.00135135135135135 0 0 0 0.00176715176715177 0.000103950103950104 0 0 0.00145530145530146 0.00810810810810811 0 0.00114345114345114 0.000623700623700624 0.00207900207900208 0.00228690228690229 0 0.00436590436590437 0.00363825363825364 0.000415800415800416 0 0.000831600831600832 0.00436590436590437 0.00810810810810811 0 0.00051975051975052 0 0.000727650727650728 0.00415800415800416 0.000831600831600832 0.000207900207900208 0 0 0.00748440748440748 0 0.00051975051975052 0 0.00384615384615385 0.00332640332640333 0 0 0.00114345114345114 0.00821205821205821 0.000831600831600832 0.000103950103950104 0.000415800415800416 0.00114345114345114 0 0.00207900207900208 0 0 0 0 0 0 0.00176715176715177 0.000103950103950104 0 0.000207900207900208 0 0.000103950103950104 0 0 0 0 0.000207900207900208 0.00051975051975052 0 0.000727650727650728 0 0 0 0.000103950103950104 0 0.000311850311850312 0 0 0.000311850311850312 0
"Z14024F" 0.111018711018711 0.0217255717255717 0.127962577962578 0.0573804573804574 0.0230769230769231 0.0180873180873181 0.029002079002079 0.00582120582120582 0.0665280665280665 0.00613305613305613 0.0150727650727651 0.0390852390852391 0.0124740124740125 0.00748440748440748 0.00654885654885655 0.00488565488565489 0.0148648648648649 0.0445945945945946 0.00124740124740125 0.014968814968815 0.0152806652806653 0.000623700623700624 0.000207900207900208 0.000103950103950104 0.12006237006237 0.115904365904366 0 0.0174636174636175 0.00291060291060291 0 0 0.0112266112266112 0.00405405405405405 0.00478170478170478 0.00218295218295218 0.000415800415800416 0.00415800415800416 0.00249480249480249 0 0 0.0139293139293139 0.00103950103950104 0 0.000415800415800416 0.00135135135135135 0.000935550935550936 0 0 0.000207900207900208 0.00103950103950104 0.000311850311850312 0.000207900207900208 0.00353430353430353 0 0.0112266112266112 0 0.00135135135135135 0 0.00717255717255717 0.00124740124740125 0.00322245322245322 0 0 0.000311850311850312 0 0 0 0.000207900207900208 0.00395010395010395 0.000103950103950104 0 0 0 0.000207900207900208 0.00509355509355509 0 0.000311850311850312 0.000207900207900208 0.000207900207900208 0.00322245322245322 0.000103950103950104 0.00613305613305613 0 0 0 0 0 0 0 0 0.000415800415800416 0 0.000103950103950104 0 0 0 0 0 0.000207900207900208 0.000103950103950104 0 0 0.000311850311850312 0 0 0 0 0 0 0.000311850311850312 0.000311850311850312 0 0 0 0 0 0.000311850311850312 0.000623700623700624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0
"Z14025F" 0.223284823284823 0.0479209979209979 0.238773388773389 0.0929313929313929 0.0126819126819127 0.00852390852390852 0.0318087318087318 0.000311850311850312 0.0520790020790021 0.0161122661122661 0.0053014553014553 0.0143451143451143 0.00322245322245322 0.0166320166320166 0.0164241164241164 0.00051975051975052 0.0164241164241164 0.0278586278586279 0.000311850311850312 0.00540540540540541 0.00987525987525988 0.0114345114345114 0 0 0.0143451143451143 0.00810810810810811 0 0.0196465696465696 0.00509355509355509 0.000207900207900208 0 0.00405405405405405 0.00207900207900208 0.00644490644490645 0.000623700623700624 0.00311850311850312 0.00207900207900208 0.00748440748440748 0.000103950103950104 0.00051975051975052 0.00051975051975052 0 0 0 0.00051975051975052 0.00145530145530146 0 0 0 0.000311850311850312 0.00051975051975052 0.000831600831600832 0.00602910602910603 0 0.00135135135135135 0.000103950103950104 0.00602910602910603 0 0.000935550935550936 0 0.0025987525987526 0.000103950103950104 0 0.000103950103950104 0 0 0.000311850311850312 0.000103950103950104 0.00051975051975052 0 0 0 0.000103950103950104 0 0.0314968814968815 0.00051975051975052 0.00051975051975052 0 0.000311850311850312 0.000207900207900208 0 0.0118503118503119 0.000311850311850312 0.000103950103950104 0 0 0 0 0 0 0 0 0.000415800415800416 0 0 0.000207900207900208 0 0 0.000727650727650728 0 0 0.000415800415800416 0.00135135135135135 0 0 0 0 0 0.00051975051975052 0.000103950103950104 0.000415800415800416 0 0 0 0 0.000311850311850312 0.000415800415800416 0.000415800415800416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0.000727650727650728 0 0 0 0 0 0 0 0 0 0
"Z14026F" 0.225259875259875 0.0426195426195426 0.235654885654886 0.0862785862785863 0.0112266112266112 0.00914760914760915 0.0222453222453222 0 0.0449064449064449 0.0249480249480249 0.00166320166320166 0.00997920997920998 0.00124740124740125 0.0173596673596674 0.0141372141372141 0.000623700623700624 0.0145530145530146 0.0225571725571726 0.000727650727650728 0.00353430353430353 0.00810810810810811 0.0415800415800416 0 0.000207900207900208 0.0106029106029106 0.00571725571725572 0.000103950103950104 0.014968814968815 0.00343035343035343 0.000103950103950104 0 0.00426195426195426 0.00176715176715177 0.00488565488565489 0.000935550935550936 0.000727650727650728 0.0051975051975052 0.00696465696465697 0 0 0.000207900207900208 0 0 0 0.000311850311850312 0.00103950103950104 0 0.000207900207900208 0 0 0.000311850311850312 0.000207900207900208 0.0159043659043659 0 0.00166320166320166 0 0.00727650727650728 0 0.00103950103950104 0.000207900207900208 0.00332640332640333 0 0 0 0 0 0 0.000311850311850312 0.00051975051975052 0 0.000103950103950104 0 0 0.00103950103950104 0.0377338877338877 0.000415800415800416 0.000207900207900208 0 0.000103950103950104 0.00103950103950104 0 0.0193347193347193 0 0.000727650727650728 0 0.000103950103950104 0 0 0 0.000103950103950104 0 0 0.000103950103950104 0 0.000103950103950104 0 0 0 0 0.000311850311850312 0 0.000727650727650728 0.00103950103950104 0 0 0 0 0 0.000415800415800416 0 0.000103950103950104 0 0.000103950103950104 0 0 0.00353430353430353 0.000727650727650728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0.000831600831600832 0 0 0.000103950103950104 0 0 0 0 0 0 0
